施設名称,所在地,image_src,details,url,電話番号,開所時間,休業日,ホームページURL,X座標,Y座標
旧伊東家住宅・旧梅田家住宅,青森県弘前市大字若党町８０,12.jpg,この建物は、藩政時代に代々藩医を務めた伊藤家の居宅として、市内元長町の一角に建てられたものです。医者としての居宅ですが、中級武士の居宅に良く似た構造・特徴を残しています。座敷は簡素ながらも剛質な造作をした床と、違い棚を組み合わせ、藩政時代の落ち着いた住宅空間を生み出しています。,https://www.aptinet.jp/Detail_display_00000221.html?id=00000221&t=0,0172-35-4724,１０時〜１６時（※１）,（※２）,http://www.city.hirosaki.aomori.jp/gaiyo/shisetsu/page/139.html,68144.5975,-31187.0492
藤田記念庭園,青森県弘前市大字上白銀町8-1,13.jpg,"　藤田記念庭園は、弘前公園に隣接し、弘前市出身の藤田謙一氏が大正八年に別邸を構える際、東京から庭師を招いてつくらせた江戸風な景趣の庭園です。
　 その後、弘前市が市政施行百周年記念事業として整備し、平成三年七月に開園しました。 
　 総面積は約21，800m2（約6，600坪）あり、東北地方においては平泉毛越寺庭園に次ぐ大規模な庭園です。 


　園内は高さ13ｍの崖地をはさんで、高台部と低地部に分かれており、高台部は岩木山を眺望する借景式庭園で、洋館、和館、匠館が建ち、建物の中を見学する事ができます。 
　低地部は池泉廻遊式庭園で、歩きながら、ハナショウブ、ツツジの群落、滝などの景趣の変化を楽しむことができます。",http://www.hirosakipark.or.jp/hujita/,0172-37-5525,９時〜１７時,備考欄,http://www.city.hirosaki.aomori.jp/gaiyo/shisetsu/page/119.html,67178999,-31583.2416
弘前公園,青森県弘前市大字下白銀町１,14.jpg,"弘前公園は、弘前藩主津軽家の代々の居城、弘前城の敷地に広がっています。
園内のシンボルである三層の天守は、江戸時代に築かれ現在までその姿を留める、全国でも数少ない貴重な建築物です。
城門や櫓、濠など当時を偲ばせるたくさんの遺構や、春のさくらまつり、秋の紅葉まつり、冬の雪燈籠まつりなど、 季節に合わせて様々なイベントが催される、弘前市民の憩いの場となっています。",https://www.hirosakipark.jp/,0172-33-8739,,備考欄,http://www.city.hirosaki.aomori.jp/gaiyo/shisetsu/page/108.html,67591.81046,-31276.07999
弘前市りんご公園,青森県弘前市大字清水富田字寺沢125,15.jpg,"リンゴだらけの公園！ 
岩木山を背景に、おなじみの品種から明治・大正の珍しい品種など80品種、約1,500本ものリンゴが植えられ、秋には時期にあった品種のリンゴ狩りもできます。 
レストランのメニューやお土産もリンゴにこだわってます。 

■営業時間 / 9:00〜17:00 
　　　　　　※時間外でも園内を散策できます。 
■休業日 / なし 
■入園料 / 無料 
■駐車場 / 80台（無料） 
■交通 / 
【路線バス】弘前バスターミナル（JR弘前駅経由）→居森平・田代・大秋・相馬行（20分）→常盤坂入口下車→徒歩（7分）→りんご公園 
【ためのぶ号】JR弘前駅前⇒津軽藩ねぷた村⇒市役所前⇒りんご公園",https://www.hirosaki-kanko.or.jp/web/details.html?id=CNT00404051155457386,0172-36-7439,9時〜17時,年末年始,http://www.hi-it.net/~ringo-kouen/,65457.7908,-33157.3356
武徳殿休憩所,青森県弘前市下白銀町1,16.jpg,"かつてこの場所には、武徳殿と無料休憩所の両施設がありました。
武徳殿は、柔剣道の練習場として明治末期に建設されたものです。建築当初、武徳殿は寅武場（えんぶじょう）と呼ばれ、1997年（平成9年）に弘前市が行った発掘調査では建物の前に門があったことがわかっています。無料休憩所は、太平洋戦争中の1942年（昭和17年）に修練道場として建設され、1960年代に一般開放となります。
時代は平成へと変わり、両施設は老朽化により酷く傷んでいました。そのため、1998年（平成10年）、弘前市は文化庁と協議の上、北の郭整備事業に乗り出します。
2003年（平成15年）、改修された武徳殿は、土産物店や喫茶店、休憩スペースを備えた武徳殿休憩所として開館しました。また、かつて無料休憩所のあった場所は和風庭園へと姿を変えています。",https://www.hirosakipark.jp/510.html,0172-33-8733（みどりの協会）,9時〜16時30分,11月24日〜翌年3月31日,http://www.city.hirosaki.aomori.jp/kanko/shisetsu/park/payzone.html,67736.53074,-31243.30524
弘前城植物園,青森県弘前市下白銀町1,17.jpg,"　弘前城植物園は弘前市弘前公園内（弘前城）三の丸にあり、昭和63年5月31日　開園しました。面積は76,500平方メートルあり、散策所要時間は約40分〜1時間となりますが、自由広場でお弁当を広げれば、一日中楽しめます。
　また、雨天時の休憩所として、園内には無料休憩所、東屋等があります。",http://www.hirosakipark.or.jp/plant/index.html,0172-33-8733（みどりの協会）,9時〜17時（入園券の販売は16時30分まで）　さくらまつり期間（4月23日〜5月5日）9時〜18時（入園券の販売は17：30分まで）,11月24日〜翌年4月中旬,https://www.city.hirosaki.aomori.jp/gaiyo/shisetsu/page/110.html,67249.17474,-31067.19471
辰巳櫓,青森県弘前市下白銀町1,18.jpg,"城郭にとりつく敵への攻撃や物見のために造られたもので、防弾・防火のために土蔵造りとなっています。
1・2層は四間四方の同面積ですが、3層目を小さくし屋根は入母屋にしています。歴代の藩主は、この櫓から三の丸を通る弘前八幡宮の山車行列などを観覧したと伝わっています。
櫓の名前は、天守から見た方角を12支で示したもので、辰巳は南東に当たります。",https://www.hirosakipark.jp/703.html,0172-33-8739,,,http://www.city.hirosaki.aomori.jp/kanko/shisetsu/park/index.html,67326.71166,-31183.9838
追手門,青森県弘前市下白銀町1,19.jpg,"弘前公園の正面玄関とも言えるのが、この追手門。藩政時代にも、初期を除いてほとんどの期間、この門が正門とされていました。
園内に現存する他の4つの門同様、この追手門も2層の櫓門となっています。全体的に簡素な素木造りとなっていて、戦国時代の古い形式を残すものとして全国の城郭建築の中でも珍しいものとされています。",https://www.hirosakipark.jp/438.html,0172-33-8739,,,http://www.city.hirosaki.aomori.jp/kanko/shisetsu/park/index.html,67109.07812,-31238.00868
未申櫓,青森県弘前市下白銀町1,20.jpg,"城郭に取りつく敵への攻撃や、物見のために造られました。防弾・防火のために土蔵造りとなっています。現存する3つの櫓はいずれも3層建てで同じような姿ですが、窓の形など細部に造作の違いが見られます。
櫓の名前は、天守から見た方角を12支で示したもので、未申は南西に当たります。",https://www.hirosakipark.jp/697.html,0172-33-8739,,,http://www.city.hirosaki.aomori.jp/kanko/shisetsu/park/index.html,67361.17252,-31370.95227
南内門,青森県弘前市下白銀町1,21.jpg,"二の丸に2つある城門のうち、三の丸から杉の大橋を渡ってすぐにあるのがこの南内門です。
追手門口あるいは市民会館口から入園して本丸に向かう場合、ここを通ることになるでしょう。
さくらまつりの時期は、この門をくぐって二の丸から本丸に向かって進んでいくと、
満開の桜の海の中に真っ白な天守と真っ赤な下乗橋が徐々に浮かび上がってきます。絶対お勧めのスポットの1つと言えるでしょう。",https://www.hirosakipark.jp/445.html,0172-33-8739,,,http://www.city.hirosaki.aomori.jp/kanko/shisetsu/park/index.html,67373.89653,-31291.50391
弘前城資料館,青森県弘前市下白銀町1,22.jpg,"　津軽藩二代藩主信牧（のぶひら）が築いた天守は、本丸西南隅に建てられた五層のものでしたが、16年後の寛永4年(1627)落雷で焼失したと記録されています。
　この時、天守内にあった多くの宝物、古記録、武具が失われたと伝えられています。
　現在の天守は、九代藩主寧親(やすちか)が文化7年（1810）、天主櫓造営の目的で幕府の許可を得て建てられたものです。
　天守は、3重3階の独立天守で、白漆喰（しろしっくい）塗りとした破風(はふ)や懸魚(けぎょ)、切妻破風（きりづまはふ)を東・南面の1、2階に張り出し、二方正面の方式としています。",http://www.hirosakipark.or.jp/hirosakipark/tensyu_setumei.html,0172-33-8739,9時〜17時（入館券の販売は16時30分まで）　さくらまつり期間（4月23日〜5月5日）7時〜21時,11月24日〜翌年3月31日,http://www.city.hirosaki.aomori.jp/kanko/shisetsu/park/payzone.html,67510.94469,-31238.53834
東内門,青森県弘前市下白銀町1,23.jpg,,,0172-33-8739,,,http://www.city.hirosaki.aomori.jp/kanko/shisetsu/park/index.html,67535.86254,-31140.02237
東門,青森県弘前市下白銀町1,24.jpg,"弘前公園に現存する5つの櫓門のうち、他の4つの門は昭和12年（1937）年に重要文化財として指定されました。
しかしこの東門のみ、昭和28年（1953年）の指定となっています。なぜ指定が遅れたかについては、現在調査中です。",https://www.hirosakipark.jp/457.html,0172-33-8739,,,http://www.city.hirosaki.aomori.jp/kanko/shisetsu/park/index.html,67479.39976,-30943.52009
丑寅櫓,青森県弘前市下白銀町1,25.jpg,"城郭に取りつく敵への攻撃や物見のために造られました。防弾・防火のために土蔵造りで、
銅版葺となっています。
軒下や出格子の木部は素木のままで飾り気がありませんが、独特の美しさを見せてくれます。
櫓の方角は12支を示したもので、丑寅は北東に当たります。",https://www.hirosakipark.jp/690.html,0172-33-8739,,,http://www.city.hirosaki.aomori.jp/kanko/shisetsu/park/index.html,67693.58722,-31063.75195
北門（亀甲門）,青森県弘前市下白銀町1,26.jpg,"北門はまたの名前を亀甲門と呼びます。
中国の古い言い伝えによると、北方の守護神として玄武という亀の神様がいたとされており、
お城の北側にある門の別名が亀甲門とされたのは、この伝説に由来していると言われています。
築城後間もなくはこの門が弘前城の正門とされていましたが、やがて追手門が正門となり、この北門は裏門の扱いとなりました。",https://www.hirosakipark.jp/452.html,0172-33-8739,,,http://www.city.hirosaki.aomori.jp/kanko/shisetsu/park/index.html,67988.62514,-31016.61259
相馬ダム（屏風岩）,青森県弘前市沢田,27.jpg,岩木川水系作沢川上流にある高さ100m、幅600mにわたって連なる奇岩。屏風のような形をしていることからその名がつけられた。紅葉の時期は特に美しく、カエデ・ブナ・モミジなど様々な木々が放つ鮮やかな色彩と、荒々しくそびえ立つ岩壁が織りなす風景が見事。岩木山や白神山地が落葉した後の10月中旬〜下旬に紅葉の見頃を迎える。相馬ダムの下流展望台付近に、屏風岩を一望できるスペースがある。,https://koyo.walkerplus.com/detail/ar0202e154392/,,,,https://www.city.hirosaki.aomori.jp/gaiyo/shisetsu/page/68.html,61595.26827,-43993.13861
